triad,perimeter,area,polar_moment,side_ratio,normal_coefficient
"(0, 5, 10)",0.4566556257121238,0.0049902545890984,0.025417675855568977,0.5376628079711517,0.16579281170785945
"(0, 5, 11)",0.34126551952866707,0.005554880583968186,0.012979357128115845,0.8856298452543068,0.3304536281798896
"(0, 5, 12)",0.6789430353754141,0.012410781946377883,0.05804780291484137,0.37035513138711706,0.18653188912114643
"(0, 5, 13)",0.5051011012356521,0.00911548993732702,0.030309066762936782,0.5222615692288134,0.2475392118957901
"(0, 5, 14)",0.41508053292659164,0.004044451845118712,0.02108321384267084,0.48940968955437636,0.16263557754374117
"(0, 5, 15)",0.6446046141266635,0.012639967168352187,0.05157078601979212,0.39859063722391774,0.2107559016836637
"(0, 5, 16)",0.24637557894898338,0.001006041152770438,0.008667310479154162,0.172793232587058,0.11482621493477574
"(0, 5, 17)",0.3348296758693522,0.0018129223743868872,0.014528303752241714,0.32323865602905544,0.1120345419015105
"(0, 5, 18)",0.5482460137659946,0.005966584564896859,0.03726275800217807,0.44219003742858615,0.1375293700349037
"(0, 5, 19)",0.534190718566147,0.001268443207359696,0.035806625417391644,0.4419225244260015,0.03079633036350106
"(0, 6, 7)",0.4637678841944459,0.004765409947623054,0.02789228120471466,0.31539121010911314,0.1535039462161884
"(0, 6, 8)",0.9276086134955354,0.004222683807649985,0.10751965512293502,0.47891293564910037,0.034000056298331395
"(0, 6, 9)",0.871953439004069,0.016071941116453797,0.09320340677534317,0.5246554895949228,0.14645437895325206
"(0, 6, 10)",0.5501350832185178,0.012288564660428172,0.035694482650213646,0.53891751722689,0.2813086550620828
"(0, 6, 11)",0.627721283073516,0.008803329327127166,0.05027004256395048,0.3485283781029049,0.15478677792706136
"(0, 6, 12)",0.9282739568430299,0.003160551758080164,0.10772296596519018,0.47824154734673074,0.025411552160344145
"(0, 6, 13)",0.539268674475274,0.010039534752901022,0.03618538970008075,0.4065842243702238,0.23917942607792303
"(0, 6, 14)",0.5898232822845891,0.01612497089951264,0.03913189949622997,0.7597944284170532,0.32112619619979826
"(0, 6, 15)",0.9054657287433227,0.0005819258815858532,0.10249540147906797,0.4898802804905561,0.004917498741602306
"(0, 6, 16)",0.551837043339811,0.011632327573379854,0.03671060207618537,0.4871763849114724,0.2646461266642088
"(0, 6, 17)",0.49146844095939396,0.005740081428110664,0.03298359596542355,0.23895647531482295,0.16464456584074114
"(0, 6, 18)",0.7593322698854208,0.008725944499041814,0.07190669399788042,0.43814717835565575,0.10485022130369094
"(0, 6, 19)",0.6970504924000293,0.014158625126205937,0.05921468690901586,0.4591559214748484,0.2018892642196438
"(0, 7, 8)",0.6185550551297988,0.004100572039266681,0.05245667552620639,0.2286864158133729,0.07425203208978805
"(0, 7, 9)",0.5947996479096642,0.0002324882590502024,0.04835750171069217,0.23520336623972776,0.004552817464100949
"(0, 7, 10)",0.3436126092889433,0.004019893571481366,0.014312843252142809,0.45376966058270385,0.23588318812239453
