triad,perimeter,area,polar_moment,side_ratio,normal_coefficient
"(0, 9, 11)",0.5067726465651101,0.00510214878231063,0.03244313156671952,0.3772858317597377,0.13764086920582513
"(0, 9, 12)",0.6347617791021016,0.0007034950535672524,0.0554193489025099,0.22561158702913992,0.01209651113188457
"(0, 9, 13)",0.7662379632152839,0.003026868780318324,0.075241400778426,0.3607267957466636,0.03571797937290496
"(0, 9, 14)",0.5071984684116776,0.005390135349626627,0.03170995748153533,0.4652869476916015,0.14516583701200966
"(0, 9, 15)",0.4960440690666291,0.002375723059850287,0.03356114081908625,0.2368713214330318,0.06689226615703082
"(0, 9, 16)",0.4945338606550679,0.0021580583132485838,0.03144893545250485,0.3487853349759863,0.061135255036838275
"(0, 9, 17)",0.49178718391152687,0.00015789914014655536,0.0325882554165185,0.2582074222556318,0.004523201865326804
"(0, 9, 18)",0.5029577778493493,0.0026480335060345777,0.037921113873027885,0.11341378910179623,0.07252388115845271
"(0, 9, 19)",0.5545648363886941,0.009181585281508541,0.03965479792534213,0.32795855152476117,0.2068395737025533
"(0, 10, 11)",0.28720020598478146,0.0025833502608355085,0.009994099502786433,0.4686258916244321,0.21698735108124384
"(0, 10, 12)",0.6345995122894597,0.000242951609226447,0.05079861870092601,0.41724943294347416,0.004179659766822388
"(0, 10, 13)",0.7649392013034528,0.0008813300732138929,0.07544455964883576,0.34620063449762506,0.010435310410714166
"(0, 10, 14)",0.301494754029797,0.0031079425971931355,0.011202638102429092,0.41315649528256887,0.2368831054450034
"(0, 10, 15)",0.26953944762695453,0.001170932021133976,0.009048526986635616,0.4399356293858408,0.11166257361912901
"(0, 10, 16)",0.3318518327683286,0.0014787232776953322,0.015132417593688134,0.2245337868788412,0.09302915733752957
"(0, 10, 17)",0.2649312237475937,0.0002093471247652072,0.008775389372617843,0.4795626762028361,0.02066432997285262
"(0, 10, 18)",0.46073950105557043,0.0018721893897836667,0.02662892928319108,0.4326757539315036,0.061102573624973594
"(0, 10, 19)",0.47483718322625723,0.005363562718311326,0.02753944956582723,0.5016982146936938,0.1648103728767356
"(0, 11, 12)",0.6470492747643477,0.0063454117419657905,0.05514793574133903,0.2923767973642396,0.10500396947469806
"(0, 11, 13)",0.7743000378075142,0.006897215778103152,0.08143888401747557,0.24259118112114,0.07970322065694024
"(0, 11, 14)",0.29548741610111023,0.004011516525072456,0.009831318084168946,0.7719068193799596,0.31831068967758896
"(0, 11, 15)",0.18674947760864358,0.0003384595301034136,0.004425163079385106,0.38523212799740497,0.06723703821532423
"(0, 11, 16)",0.35426587021189726,0.004088459160389345,0.014954099618790101,0.5695254668003533,0.2256948521111441
"(0, 11, 17)",0.20327384633708076,0.0013704227952099305,0.004949142479475972,0.5068046527641112,0.22977997758957053
"(0, 11, 18)",0.4802520214470523,0.0056281241947656185,0.02873010156922582,0.40477506890035536,0.16906195546665403
"(0, 11, 19)",0.49702863546086185,0.0075690458995671586,0.03055390267307563,0.40680967459730355,0.21227504242887524
"(0, 12, 13)",0.7667912811648545,0.00281343648121511,0.08380385210982041,0.17544311833500628,0.03315151660116997
"(0, 12, 14)",0.6489951055207871,0.007256689632290555,0.05366026760147104,0.36057306203877026,0.11936481365762305
"(0, 12, 15)",0.638184210521593,0.0029079583970213515,0.05768368610103708,0.1835628918928725,0.04946712813064647
"(0, 12, 16)",0.6372157945399731,0.003247647229384786,0.05062233493955632,0.49492442155704736,0.05541360481549366
"(0, 12, 17)",0.6346424103648906,0.00038533190613228123,0.05638353057160702,0.2000972547064883,0.006628227527504801
"(0, 12, 18)",0.6396255200717875,0.004069309093097001,0.053959008068885685,0.29356903313917404,0.06891118710009446
"(0, 12, 19)",0.6750366007199979,0.012462538455595024,0.056499930183506755,0.4087856400185683,0.18948397551548518
"(0, 13, 14)",0.7811233621157884,0.009666370546076818,0.08005204294025267,0.29917505694366014,0.1097601782817551
"(0, 13, 15)",0.7673650917279673,0.0030107710776663956,0.08545673789904192,0.15230599403149012,0.035423728982893116
"(0, 13, 16)",0.7689833108400983,0.005342812294087692,0.07426815517709136,0.425953175516522,0.06259745929185817
"(0, 13, 17)",0.7650889841458077,0.0010264605441500842,0.08405004519264765,0.166024902782801,0.012148956611231259
"(0, 13, 18)",0.7718299222168777,0.0069185853650609265,0.0748125946674421,0.419016813645391,0.08046271823618759
"(0, 13, 19)",0.8040120577983967,0.016902267511446765,0.07856841659012226,0.5061707445838411,0.18115088738798918
"(0, 14, 15)",0.25366519948730737,0.0022254535247150015,0.007681556182575923,0.5090865381206294,0.23961685711843486
"(0, 14, 16)",0.33940012282572685,0.002622475790326354,0.014492836360251558,0.3812749704735615,0.1577277528774131
"(0, 14, 17)",0.23782774105922294,0.0013236284613684143,0.006903876969396248,0.523844211241991,0.16212936957103322
"(0, 14, 18)",0.4681060560224748,0.0038638075538369467,0.027039576527967814,0.4991879907916609,0.12216522139568335
"(0, 14, 19)",0.4564872120403273,0.0007773393039459207,0.026032121867884648,0.5000888335355816,0.025844849899830262
"(0, 15, 16)",0.3343033061453742,0.0020468752588005514,0.01424423710053105,0.3575651099367903,0.1268909509199916
"(0, 15, 17)",0.14403702183656858,0.0006485870260341184,0.0026402142497504995,0.35131384589146614,0.2165911012306947
"(0, 15, 18)",0.4654114454913729,0.0027962956820901173,0.02919874215008176,0.2541298861035193,0.08943954724431892
"(0, 15, 19)",0.4723041100023679,0.004133464707608908,0.029999440792637895,0.2554072723700097,0.1283782357038335
"(0, 16, 17)",0.3261754412668597,0.00045312048287062673,0.013507687201704123,0.3897726612355333,0.02950745788778223
"(0, 16, 18)",0.45842644521374726,0.00025860542646639895,0.02782047972833481,0.2895123245330661,0.008525481705203055
"(0, 16, 19)",0.46921320182990134,0.004155914484045242,0.028221101694762364,0.3432961147368736,0.13078163884762206
"(0, 17, 18)",0.4586118540003823,0.0005370775383223845,0.028030694229858044,0.2770205460582048,0.017691597750919538
"(0, 17, 19)",0.46031178587315813,0.002231904323557325,0.028173552868802805,0.2784129924425953,0.07297800765133373
"(0, 18, 19)",0.5118675791028253,0.006199743768363675,0.035838076224805886,0.23841486985129023,0.16393780414677653
"(1, 2, 3)",0.7074134631088466,0.016629510481568695,0.05951597144840519,0.5685839827385359,0.23022550923496504
"(1, 2, 4)",0.8931359414291669,0.014702437027666819,0.10382017629967633,0.31212063846282456,0.1276952708393439
"(1, 2, 5)",0.9346994754927347,0.015354065412758857,0.1122817157028561,0.33934838040926313,0.12175870130658653
"(1, 2, 6)",0.6562155331048354,0.0017977570236977223,0.0693134786199738,0.03563955544771354,0.028924016485221443
"(1, 2, 7)",0.6477065662502255,0.0004404595932229012,0.05970370450163869,0.17768677038798328,0.007273946331371134
