HIP	RA	Dec	Vmag
17874	03 49 27.28	-36 12 00.4	4.17
17884	03 49 31.29	+65 31 33.6	4.39
17959	03 50 21.48	+71 19 56.5	4.59
18216	03 53 42.68	-24 36 44.0	4.64
18246	03 54 07.92	+31 53 01.2	2.84
18255	03 54 17.49	-02 57 17.0	4.46
18488	03 57 08.29	+61 06 32.1	4.99
18505	03 57 25.44	+63 04 20.1	4.95
18532	03 57 51.22	+40 00 37.0	2.9
18543	03 58 01.73	-13 30 29.7	2.97
18597	03 58 44.74	-61 24 00.5	4.56
18614	03 58 57.90	+35 47 27.7	3.98
18673	03 59 55.48	-24 00 58.5	4.62
18724	04 00 40.82	+12 29 25.4	3.41
18744	04 00 53.81	-62 09 33.7	4.48
18772	04 01 18.07	-61 04 44.6	4.97
18907	04 03 09.38	+05 59 21.5	3.91
19038	04 04 41.66	+22 04 55.4	4.36
19167	04 06 35.06	+50 21 04.9	4.25
19343	04 08 39.67	+47 42 45.3	3.96
19515	04 10 50.43	-41 59 37.5	4.93
19587	04 11 51.93	-06 50 16.0	4.04
19740	04 13 56.39	+09 15 50.0	4.84
19747	04 14 00.08	-42 17 37.9	3.85
19777	04 14 23.69	-10 15 21.2	4.87
19780	04 14 25.43	-62 28 26.3	3.33
19811	04 14 53.31	+40 29 01.4	4.67
19812	04 14 53.86	+48 24 33.7	4.12
19849	04 15 17.64	-07 38 40.4	4.43
19860	04 15 32.05	+08 53 32.7	4.27
19893	04 16 01.49	-51 29 13.5	4.26
19921	04 16 29.08	-59 18 06.3	4.44
19990	04 17 15.69	+20 34 43.5	4.93
20042	04 17 53.62	-33 47 54.0	3.55
20070	04 18 14.58	+50 17 44.3	4.6
20205	04 19 47.53	+15 37 39.7	3.65
20250	04 20 21.23	+27 21 03.4	4.97
20252	04 20 24.66	+34 34 00.3	4.93
20354	04 21 33.15	+46 29 56.3	4.8
20455	04 22 56.03	+17 32 33.3	3.77
20535	04 24 02.17	-34 01 01.2	3.97
20542	04 24 05.69	+17 26 39.2	4.8
20635	04 25 22.10	+22 17 38.3	4.21
20648	04 25 29.32	+17 55 40.8	4.3
20711	04 26 18.39	+22 48 49.3	4.28
20713	04 26 20.67	+15 37 06.0	4.48
20732	04 26 36.38	+14 42 49.9	4.69
20877	04 28 26.37	+16 21 34.7	4.96
20885	04 28 34.43	+15 57 44.0	3.84
20889	04 28 36.93	+19 10 49.9	3.53
20894	04 28 39.67	+15 52 15.4	3.4
21029	04 30 33.57	+16 11 38.7	4.78
21139	04 31 52.67	-00 02 38.4	4.91
21248	04 33 30.63	-29 45 57.0	4.49
21273	04 33 50.86	+14 50 40.2	4.65
21281	04 33 59.72	-55 02 42.0	3.3
21393	04 35 33.07	-30 33 44.3	3.81
21402	04 35 39.23	+10 09 39.3	4.25
21421	04 35 55.20	+16 30 35.1	0.87
21444	04 36 19.14	-03 21 08.8	3.93
21476	04 36 41.43	+41 15 53.5	4.25
21589	04 38 09.40	+12 30 39.1	4.27
21594	04 38 10.87	-14 18 12.9	3.86
21644	04 38 53.59	-12 07 23.1	4.99
21683	04 39 16.45	+15 55 04.9	4.67
