|name      |ra           |dec          |pm_ra   |pm_dec  |parallax|spect_type  |vmag |vmag_source|
|HIP 65474 |13 25 11.6046|-11 09 40.482|  -42.50|  -31.73|   12.44|B1V         | 0.98|G          |
|HIP 81377 |16 37 09.5300|-10 34 01.746|   13.07|   25.44|    7.12|O9.5V       | 2.54|H          |
|HIP 27366 |05 47 45.3879|-09 40 10.567|    1.55|   -1.20|    4.52|B0.5Iavar   | 2.07|G          |
|HIP 74785 |15 17 00.4718|-09 22 58.321|  -96.39|  -20.76|   20.38|B8V         | 2.61|G          |
|HIP 46390 |09 27 35.2518|-08 39 31.260|  -14.49|   33.25|   18.40|K3III       | 1.99|H          |
|HIP 24436 |05 14 32.2712|-08 12 05.901|    1.87|   -0.56|    4.22|B8Ia        | 0.18|G          |
|HIP 26241 |05 35 25.9811|-05 54 35.639|    2.27|   -0.62|    2.46|O9III       | 2.75|H          |
|HIP 106278|21 31 33.5207|-05 34 16.161|   22.79|   -6.70|    5.33|G0Ib        | 2.90|G          |
|HIP 23875 |05 07 51.0340|-05 05 10.546|  -83.39|  -75.44|   36.71|A3IIIvar    | 2.78|G          |
|HIP 79593 |16 14 20.7662|-03 41 38.312|  -45.83| -142.91|   19.16|M1III       | 2.73|H          |
|HIP 26727 |05 40 45.5248|-01 56 33.282|    3.99|    2.54|    3.99|O9.5Ib SB   | 1.74|H          |
|HIP 61941 |12 41 40.0021|-01 26 58.280| -616.66|   60.66|   84.53|F0V+...     | 2.74|G          |
|HIP 26311 |05 36 12.8126|-01 12 06.902|    1.49|   -1.06|    2.43|B0Ia        | 1.69|G          |
|HIP 109074|22 05 47.0253|-00 19 11.376|   17.90|   -9.93|    4.30|G2Ib        | 2.95|H          |
|HIP 25930 |05 32 00.3997|-00 17 56.736|    1.67|    0.56|    3.56|O9.5II      | 2.25|G          |
|HIP 14135 |03 02 16.7791|+04 05 23.731|  -11.81|  -78.76|   14.82|M2III       | 2.54|H          |
|HIP 86742 |17 43 28.3769|+04 34 00.901|  -40.67|  158.80|   39.78|K2III       | 2.76|H          |
|HIP 37279 |07 39 18.5381|+05 13 39.028| -716.57|-1034.58|  285.93|F5IV-V      | 0.40|G          |
|HIP 25336 |05 25 07.8682|+06 20 59.044|   -8.75|  -13.28|   13.42|B2III       | 1.64|G          |
|HIP 77070 |15 44 15.9958|+06 25 31.871|  134.66|   44.14|   44.54|K2III       | 2.63|H          |
|HIP 27989 |05 55 10.2892|+07 24 25.331|   27.33|   10.86|    7.63|M2Ib        | 0.45|H          |
|HIP 36188 |07 27 09.0723|+08 17 21.872|  -50.28|  -38.45|   19.16|B8Vvar      | 2.89|G          |
|HIP 97649 |19 50 46.6821|+08 52 02.586|  536.82|  385.54|  194.44|A7IV-V      | 0.76|G          |
|HIP 107315|21 44 11.1403|+09 52 30.028|   30.02|    1.38|    4.85|K2Ibvar     | 2.38|G          |
|HIP 97278 |19 46 15.5702|+10 36 47.767|   15.72|   -3.08|    7.08|K3II        | 2.72|G          |
|HIP 63608 |13 02 10.7605|+10 57 32.767| -275.05|   19.96|   31.90|G8IIIvar    | 2.85|H          |
|HIP 49669 |10 08 22.4594|+11 58 01.902| -249.40|    4.91|   42.09|B7V         | 1.36|G          |
|HIP 86032 |17 34 56.0048|+12 33 38.073|  110.08| -222.61|   69.84|A5III       | 2.08|G          |
|HIP 93747 |19 05 24.6124|+13 51 49.355|   -7.04|  -95.31|   39.18|A0Vn        | 2.99|G          |
|HIP 84345 |17 14 38.8624|+14 23 24.911|   -6.71|   32.78|    8.53|M5IIvar     | 2.78|H          |
|HIP 57632 |11 49 03.8783|+14 34 20.413| -499.02| -113.78|   90.16|A3Vvar      | 2.14|G          |
|HIP 1067  |00 13 14.1500|+15 11 01.017|    4.70|   -8.24|    9.79|B2IV        | 2.83|G          |
|HIP 113963|23 04 45.6168|+15 12 19.324|   61.10|  -42.56|   23.36|B9.5III     | 2.49|G          |
|HIP 31681 |06 37 42.7023|+16 23 57.893|   -2.04|  -66.92|   31.12|A0IV        | 1.93|G          |
|HIP 21421 |04 35 55.2005|+16 30 35.142|   62.78| -189.36|   50.09|K5III       | 0.87|G          |
|HIP 67927 |13 54 41.1162|+18 23 54.915|  -60.95| -358.10|   88.17|G0IV        | 2.68|G          |
|HIP 69673 |14 15 40.3474|+19 11 14.172|-1093.45|-1999.40|   88.85|K2IIIp      |-0.05|G          |
|HIP 50583 |10 19 58.1617|+19 50 30.697|  310.77| -152.88|   25.96|K0III       | 2.01|G          |
|HIP 54872 |11 14 06.4121|+20 31 26.522|  143.31| -130.43|   56.52|A4V         | 2.56|G          |
|HIP 8903  |01 54 38.3491|+20 48 29.878|   96.32| -108.80|   54.74|A5V...      | 2.64|G          |
|HIP 26451 |05 37 38.6843|+21 08 33.335|    2.39|  -18.04|    7.82|B4IIIp      | 2.97|H          |
|HIP 80816 |16 30 13.2617|+21 29 22.735|  -98.43|  -14.49|   22.07|G8III       | 2.78|H          |
|HIP 30343 |06 22 57.5911|+22 30 49.861|   56.84| -108.79|   14.07|M3IIIvar    | 2.87|H          |
|HIP 9884  |02 07 10.2858|+23 27 45.999|  190.73| -145.77|   49.48|K2III       | 2.01|G          |
|HIP 47908 |09 45 51.1024|+23 46 27.401|  -46.09|   -9.57|   13.01|G0II        | 2.97|H          |
|HIP 17702 |03 47 29.0642|+24 06 18.871|   19.35|  -43.11|    8.87|B7III       | 2.85|H          |
|HIP 76267 |15 34 41.1895|+26 42 53.677|  120.38|  -89.44|   43.65|A0V         | 2.22|G          |
|HIP 72105 |14 44 59.2509|+27 04 27.026|  -50.65|   20.00|   15.55|A0          | 2.35|H          |
|HIP 37826 |07 45 19.3638|+28 01 34.717| -625.69|  -45.95|   96.74|K0IIIvar    | 1.16|G          |
|HIP 113881|23 03 46.3334|+28 04 56.837|  187.76|  137.61|   16.37|M2II-IIIvar | 2.44|H          |
|HIP 25428 |05 26 17.4979|+28 36 28.344|   23.28| -174.22|   24.89|B7III       | 1.65|G          |
|HIP 677   |00 08 23.1680|+29 05 26.981|  135.68| -162.95|   33.60|B9p         | 2.07|H          |
|HIP 112158|22 43 00.1286|+30 13 16.711|   13.11|  -26.11|   15.18|G2II-III..  | 2.93|H          |
|HIP 81693 |16 41 17.4771|+31 36 06.793| -462.58|  345.05|   92.63|F9IV        | 2.81|G          |
|HIP 18246 |03 54 07.9185|+31 53 01.168|    4.41|   -9.15|    3.32|B1Ib        | 2.84|H          |
|HIP 36850 |07 34 36.0046|+31 53 19.091| -206.33| -148.18|   63.27|A2Vm        | 1.58|G          |
|HIP 23015 |04 56 59.6162|+33 09 58.087|    3.63|  -18.54|    6.37|K3IIvar     | 2.69|G          |
|HIP 102488|20 46 12.4322|+33 58 10.032|  356.16|  330.28|   45.26|K0III       | 2.48|H          |
|HIP 5447  |01 09 43.7976|+35 37 14.990|  175.59| -112.23|   16.36|M0IIIvar    | 2.07|H          |
|HIP 28380 |05 59 43.2382|+37 12 45.951|   42.09|  -73.61|   18.83|A0p Si      | 2.65|G          |
|HIP 63125 |12 56 01.8409|+38 19 05.686| -233.43|   54.98|   29.60|A0spe...    | 2.89|G          |
|HIP 91262 |18 36 56.1860|+38 46 58.775|  201.02|  287.46|  128.93|A0Vvar      | 0.03|G          |
|HIP 18532 |03 57 51.2211|+40 00 36.983|   12.61|  -24.06|    6.06|B0.5V       | 2.90|H          |
|HIP 100453|20 22 13.7000|+40 15 24.053|    2.43|   -0.93|    2.14|F8Ib        | 2.23|H          |
|HIP 14576 |03 08 10.1297|+40 57 20.344|    2.39|   -1.44|   35.14|B8V         | 2.09|H          |
|HIP 9640  |02 03 53.9191|+42 19 47.454|   43.08|  -50.85|    9.19|B8V         | 2.10|H          |
|HIP 28360 |05 59 31.7694|+44 56 50.766|  -56.41|   -0.88|   39.72|A2V         | 1.90|G          |
|HIP 97165 |19 44 58.4421|+45 07 50.491|   43.22|   48.44|   19.07|B9.5III     | 2.86|G          |
|HIP 102098|20 41 25.9134|+45 16 49.203|    1.56|    1.55|    1.01|A2Ia        | 1.25|G          |
|HIP 24608 |05 16 41.2956|+45 59 56.505|   75.52| -427.13|   77.29|M1: comp    | 0.08|G          |
|HIP 67301 |13 47 32.5461|+49 18 47.890| -121.23|  -15.56|   32.39|B3V SB      | 1.85|G          |
|HIP 15863 |03 24 19.3485|+49 51 40.474|   24.11|  -26.01|    5.51|F5Ib        | 1.79|G          |
|HIP 87833 |17 56 36.3779|+51 29 20.224|   -8.52|  -23.05|   22.10|K5III       | 2.24|H          |
|HIP 85670 |17 30 25.9769|+52 18 04.892|  -15.59|   11.57|    9.02|G2II        | 2.79|H          |
|HIP 14328 |03 04 47.7902|+53 30 23.221|    0.50|   -4.19|   12.72|G8III+...   | 2.91|H          |
|HIP 58001 |11 53 49.7413|+53 41 41.039|  107.76|   11.16|   38.99|A0V SB      | 2.41|H          |
|HIP 65378 |13 23 55.4198|+54 55 31.495|  121.23|  -22.01|   41.73|A2V         | 2.23|H          |
|HIP 62956 |12 54 01.6330|+55 57 35.435|  111.74|   -8.99|   40.30|A0p         | 1.76|G          |
|HIP 53910 |11 01 50.3908|+56 22 56.441|   81.66|   33.74|   41.07|A1V         | 2.34|H          |
|HIP 3179  |00 40 30.3872|+56 32 14.673|   50.36|  -32.17|   14.27|K0II-IIIvar | 2.24|H          |
|HIP 746   |00 09 10.0897|+59 09 00.785|  523.39| -180.42|   59.89|F2III-IV    | 2.28|H          |
|HIP 6686  |01 25 48.6030|+60 14 07.452|  297.24|  -49.49|   32.81|A5Vv SB     | 2.66|H          |
|HIP 4427  |00 56 42.5011|+60 43 00.299|   25.65|   -3.82|    5.32|B0IV:evar   | 2.15|H          |
|HIP 80331 |16 23 59.5069|+61 30 50.671|  -16.98|   56.68|   37.18|G8III       | 2.73|G          |
|HIP 54061 |11 03 43.8369|+61 45 04.028| -136.46|  -35.25|   26.38|F7V comp    | 1.81|H          |
|HIP 105199|21 18 34.5816|+62 35 07.639|  149.91|   48.27|   66.84|A7IV-V      | 2.45|G          |
|HIP 72607 |14 50 42.3954|+74 09 19.713|  -32.29|   11.91|   25.79|K4IIIvar    | 2.07|H          |
|HIP 11767 |02 31 47.0753|+89 15 50.897|   44.22|  -11.74|    7.56|F7:Ib-IIv SB| 1.97|H          |
