|name      |ra           |dec          |pm_ra   |pm_dec  |parallax|spect_type  |vmag |
|HIP 25606 |05 28 14.7263|-20 45 33.236|   -5.03|  -85.92|   20.49|G5II        | 2.81|
|HIP 81693 |16 41 17.4771|+31 36 06.793| -462.58|  345.05|   92.63|F9IV        | 2.81|
|HIP 2021  |00 25 39.2020|-77 15 18.126| 2220.12|  324.37|  133.78|G2IV        | 2.82|
|HIP 81266 |16 35 52.9594|-28 12 57.462|   -8.59|  -22.50|    7.59|B0V         | 2.82|
|HIP 90496 |18 27 58.2695|-25 25 16.490|  -44.81| -186.29|   42.20|K1IIIb      | 2.82|
|HIP 77952 |15 55 08.8080|-63 25 47.099| -188.45| -401.92|   81.24|F2III       | 2.83|
|HIP 39757 |08 07 32.7022|-24 18 15.972|  -83.29|   46.38|   51.99|F2mF5IIp    | 2.83|
|HIP 1067  |00 13 14.1500|+15 11 01.017|    4.70|   -8.24|    9.79|B2IV        | 2.83|
|HIP 85258 |17 25 17.9972|-55 31 47.366|   -8.23|  -24.71|    5.41|K3Ib-II     | 2.84|
|HIP 85792 |17 31 50.5216|-49 52 33.534|  -31.27|  -67.15|   13.46|B2Vne       | 2.84|
|HIP 18246 |03 54 07.9185|+31 53 01.168|    4.41|   -9.15|    3.32|B1Ib        | 2.84|
|HIP 107556|21 47 02.2853|-16 07 35.637|  263.26| -296.23|   84.58|A5mF2 (IV)  | 2.85|
|HIP 63608 |13 02 10.7605|+10 57 32.767| -275.05|   19.96|   31.90|G8IIIvar    | 2.85|
|HIP 17702 |03 47 29.0642|+24 06 18.871|   19.35|  -43.11|    8.87|B7III       | 2.85|
|HIP 9236  |01 58 45.8718|-61 34 11.728|  262.54|   26.88|   45.74|F0V         | 2.86|
|HIP 97165 |19 44 58.4421|+45 07 50.491|   43.22|   48.44|   19.07|B9.5III     | 2.86|
|HIP 74946 |15 18 54.6888|-68 40 46.082|  -66.48|  -32.00|   17.85|A1V         | 2.87|
|HIP 110130|22 18 30.1782|-60 15 34.181|  -71.48|  -38.15|   16.42|K3III       | 2.87|
|HIP 30343 |06 22 57.5911|+22 30 49.861|   56.84| -108.79|   14.07|M3IIIvar    | 2.87|
|HIP 13847 |02 58 15.7156|-40 18 17.046|  -53.53|   25.71|   20.22|A4III+...   | 2.88|
|HIP 94141 |19 09 45.8338|-21 01 24.691|   -1.17|  -36.83|    7.41|F2II/III    | 2.88|
|HIP 78265 |15 58 51.1207|-26 06 50.554|  -12.00|  -25.71|    7.10|B1V + B2V   | 2.89|
|HIP 36188 |07 27 09.0723|+08 17 21.872|  -50.28|  -38.45|   19.16|B8Vvar      | 2.89|
|HIP 63125 |12 56 01.8409|+38 19 05.686| -233.43|   54.98|   29.60|A0spe...    | 2.89|
|HIP 80112 |16 21 11.3225|-25 35 33.909|  -10.03|  -18.03|    4.44|B1III       | 2.90|
|HIP 106278|21 31 33.5207|-05 34 16.161|   22.79|   -6.70|    5.33|G0Ib        | 2.90|
|HIP 18532 |03 57 51.2211|+40 00 36.983|   12.61|  -24.06|    6.06|B0.5V       | 2.90|
|HIP 14328 |03 04 47.7902|+53 30 23.221|    0.50|   -4.19|   12.72|G8III+...   | 2.91|
|HIP 48002 |09 47 06.1376|-65 04 19.268|  -11.55|    4.97|    2.01|A9          | 2.92|
|HIP 112158|22 43 00.1286|+30 13 16.711|   13.11|  -26.11|   15.18|G2II-III..  | 2.93|
|HIP 32768 |06 49 56.1368|-50 36 51.839|   34.23|  -65.85|   17.85|K0III...    | 2.94|
|HIP 60965 |12 29 51.9832|-16 30 54.338| -209.97| -139.30|   37.11|B9.5V       | 2.94|
|HIP 109074|22 05 47.0253|-00 19 11.376|   17.90|   -9.93|    4.30|G2Ib        | 2.95|
|HIP 18543 |03 58 01.7301|-13 30 29.681|   60.51| -111.34|   14.75|M1IIIb Ca-1 | 2.97|
