|name      |ra           |dec          |pm_ra   |pm_dec  |parallax|spect_type  |vmag |
|HIP 59449 |12 11 39.1514|-52 22 06.296|  -42.17|  -18.39|    9.53|B3V         | 3.97|
|HIP 110997|22 29 16.1541|-43 29 43.996|   25.62|   -4.23|   11.03|G6/G8III    | 3.97|
|HIP 42515 |08 40 06.1365|-35 18 29.883|    9.68|  -21.18|    8.40|G5II/III    | 3.97|
|HIP 20535 |04 24 02.1654|-34 01 01.151|   73.77|   57.57|   11.95|K4III       | 3.97|
|HIP 77634 |15 50 57.5418|-33 37 37.578|   -5.92|  -24.91|   15.86|B9.5III-IV  | 3.97|
|HIP 112440|22 46 31.8424|+23 33 56.446|   56.99|  -10.46|    8.26|G8II-III    | 3.97|
|HIP 27673 |05 51 29.3926|+39 08 54.526|    8.48|    0.39|   15.17|K0III       | 3.97|
|HIP 18614 |03 58 57.8997|+35 47 27.697|    1.92|    2.30|    1.84|O7.5Iab:    | 3.98|
|HIP 106481|21 33 58.8729|+45 35 31.436|  -24.48|  -93.88|   26.20|G8III       | 3.98|
|HIP 50954 |10 24 23.7405|-74 01 53.561|  -16.12|  -27.63|   61.67|F2IV        | 3.99|
|HIP 114996|23 17 25.8120|-58 14 09.339|  -34.93|   79.59|   45.40|F1III       | 3.99|
|HIP 9347  |02 00 00.2248|-21 04 39.979|  133.01|  -24.53|   10.84|K5/M0III    | 3.99|
|HIP 29651 |06 14 51.3365|-06 16 29.019|   -6.18|  -20.06|    5.06|K3III       | 3.99|
|HIP 65477 |13 25 13.4156|+54 59 16.796|  120.35|  -16.94|   40.19|A5V SB      | 3.99|
|HIP 44382 |09 02 26.7988|-66 23 45.037|   -2.01|  -95.80|   26.24|Am          | 4.00|
|HIP 79374 |16 11 59.7405|-19 27 38.329|   -9.70|  -25.25|    7.47|B2IV        | 4.00|
|HIP 55642 |11 23 55.3688|+10 31 46.912|  140.75|  -77.80|   41.26|F2IV SB     | 4.00|
|HIP 91792 |18 43 02.1338|-71 25 39.823|    1.25| -158.29|   15.55|K2III       | 4.01|
|HIP 80000 |16 19 50.5676|-50 09 19.365| -159.36|  -52.84|   25.58|G8III       | 4.01|
|HIP 71865 |14 41 57.6128|-37 47 36.326|  -29.56|  -30.68|   10.69|B2.5V       | 4.01|
|HIP 35037 |07 14 48.6616|-26 46 21.670|  -11.50|    7.67|    3.53|B2IV/Ve     | 4.01|
|HIP 22109 |04 45 30.1410|-03 15 16.649|   17.27|  -13.51|    6.13|B5IV        | 4.01|
|HIP 34088 |07 04 06.5354|+20 34 13.078|   -5.72|   -0.96|    2.79|G3Ibv SB    | 4.01|
|HIP 101076|20 29 23.7310|+30 22 06.804|    6.87|   -0.64|    4.30|F5II        | 4.01|
|HIP 8068  |01 43 39.6153|+50 41 19.556|   24.08|  -13.59|    4.55|B2Vpe       | 4.01|
|HIP 78527 |16 01 53.7037|+58 33 51.975| -320.07|  334.96|   47.79|F8IV-V      | 4.01|
|HIP 43409 |08 50 32.0113|-27 42 36.211| -133.49|   88.16|   15.63|K3III       | 4.02|
|HIP 59199 |12 08 24.7527|-24 43 43.608|  100.18|  -39.33|   67.71|F0IV/V      | 4.02|
|HIP 93429 |19 01 40.8414|-05 44 20.466|  -24.15|  -39.73|   21.95|K1IIIvar    | 4.02|
|HIP 93244 |18 59 37.3892|+15 04 06.519|  -52.68|  -73.81|   21.22|K2III       | 4.02|
|HIP 63003 |12 54 35.6576|-57 10 40.408|  -30.45|  -13.55|    8.64|B2IV-V      | 4.03|
|HIP 88601 |18 05 27.2128|+02 30 08.781|  124.56| -962.66|  196.62|K0V SB      | 4.03|
|HIP 118268|23 59 18.6024|+06 51 48.937|  148.49| -112.16|   30.78|F4IV        | 4.03|
|HIP 101421|20 33 12.7648|+11 18 11.996|   10.75|  -28.54|    9.09|B6III       | 4.03|
|HIP 43103 |08 46 41.8343|+28 45 36.018|  -20.69|  -43.95|   10.94|G8Iab:      | 4.03|
|HIP 10670 |02 17 18.8357|+33 50 50.356|   44.91|  -52.42|   27.73|A1Vnn       | 4.03|
|HIP 23522 |05 03 25.0973|+60 26 32.213|   -6.11|  -14.78|    3.27|G0Ib        | 4.03|
|HIP 19587 |04 11 51.9332|-06 50 16.003|   11.92|   81.28|   25.98|F2II-III    | 4.04|
|HIP 111497|22 35 21.3289|-00 07 02.500|   88.56|  -56.10|   17.77|B9IV-Vn     | 4.04|
|HIP 57380 |11 45 51.5706|+06 31 47.330|  -19.65| -180.02|   10.42|M0III       | 4.04|
|HIP 70497 |14 25 12.0194|+51 51 06.169| -236.06| -399.07|   68.63|F7V         | 4.04|
|HIP 40702 |08 18 31.2668|-76 55 11.937|  109.84|  106.92|   51.40|F5III       | 4.05|
|HIP 71536 |14 37 53.2511|-49 25 32.728|  -27.78|  -29.05|   10.51|B5V         | 4.05|
|HIP 42884 |08 44 23.9660|-42 38 57.564|  -23.88|   19.46|   14.27|G5III       | 4.05|
|HIP 70090 |14 20 33.4793|-37 53 06.962|  -64.50|  -11.39|   13.19|A0IV        | 4.05|
|HIP 112716|22 49 35.5098|-13 35 33.135|  -12.58|  -38.80|    8.58|K5III       | 4.05|
|HIP 55434 |11 21 08.2482|+06 01 45.670|  -91.76|  -12.83|   15.24|B9.5Vs      | 4.05|
|HIP 67459 |13 49 28.6979|+15 47 52.101|  -93.64|   40.76|   13.29|K5IIIvar    | 4.05|
|HIP 14632 |03 09 02.8833|+49 36 48.600| 1262.29|  -91.53|   94.93|G0V         | 4.05|
|HIP 59929 |12 17 34.6363|-67 57 38.418| -231.26|  -26.37|   10.80|M5III       | 4.06|
|HIP 60009 |12 18 26.2927|-64 00 10.964|  -33.19|  -10.38|    9.03|B2.5V       | 4.06|
|HIP 83153 |16 59 35.0467|-53 09 37.764|    1.12|   21.53|   10.72|K4III       | 4.06|
|HIP 72010 |14 43 39.4835|-35 10 23.612|  -60.93| -176.82|   15.89|K3III       | 4.06|
|HIP 55705 |11 24 52.9832|-17 41 02.463|  -97.01|    3.22|   38.90|A9V         | 4.06|
|HIP 22957 |04 56 22.3211|+13 30 52.479|  -77.77|  -45.97|   19.26|K2III       | 4.06|
|HIP 36962 |07 35 55.3723|+26 53 45.612|  -39.58| -108.08|   13.57|K5III       | 4.06|
|HIP 74824 |15 17 30.9602|-58 48 03.164|  -98.39| -135.46|   33.75|A3V         | 4.07|
|HIP 74117 |15 08 50.6296|-45 16 47.259|  -17.32|  -26.11|    8.02|B3V         | 4.07|
|HIP 69701 |14 16 00.8849|-05 59 58.294|  -25.84| -419.84|   46.74|F7V         | 4.07|
|HIP 110991|22 29 10.2479|+58 24 54.684|   16.47|    3.55|    3.32|G2Ibvar     | 4.07|
|HIP 11001 |02 21 45.0230|-68 39 33.926|  -50.07|    2.38|   24.10|A3V         | 4.08|
|HIP 46974 |09 34 26.6630|-59 13 47.165|  -11.23|    6.02|    1.65|B5II        | 4.08|
|HIP 14146 |03 02 23.5931|-23 37 27.610| -145.96|  -55.76|   37.85|A4V         | 4.08|
|HIP 53740 |10 59 46.7488|-18 17 56.750| -462.39|  129.11|   18.71|K1III       | 4.08|
|HIP 104139|21 05 56.7794|-17 13 57.759|   79.64|  -61.64|   20.61|A1V         | 4.08|
|HIP 33160 |06 54 11.4807|-12 02 18.934| -139.04|  -14.47|   12.94|K4III       | 4.08|
|HIP 12387 |02 39 28.9483|+00 19 42.660|   14.44|   -2.53|    5.04|B2IV        | 4.08|
|HIP 105502|21 22 05.1339|+19 48 15.681|  105.94|   62.61|   21.19|K1III       | 4.08|
|HIP 3693  |00 47 20.3902|+24 16 02.557| -101.23|  -81.89|   17.98|K1II        | 4.08|
|HIP 92862 |18 55 20.0852|+43 56 45.213|   19.94|   80.60|    9.33|M5IIIvar    | 4.08|
|HIP 26366 |05 36 54.3307|+09 17 29.083|   96.84| -304.18|   28.10|G8III-IV    | 4.09|
|HIP 77450 |15 48 44.4086|+18 08 30.405|  -51.78|  -88.72|    9.36|M1III       | 4.09|
|HIP 90568 |18 28 49.7360|-49 04 12.111|  137.90| -229.14|   25.60|G8/K0III    | 4.10|
|HIP 38164 |07 49 14.2990|-46 22 23.618|   -4.62|    9.04|    1.66|B0III       | 4.10|
|HIP 94160 |19 10 01.7524|-39 20 26.544|    5.89|  -36.78|    6.42|K0II/IIICN. | 4.10|
|HIP 7513  |01 36 47.9770|+41 24 22.986| -172.57| -381.01|   74.25|F8V         | 4.10|
|HIP 12777 |02 44 11.6880|+49 13 43.199|  334.03|  -89.96|   89.03|F7V         | 4.10|
|HIP 51839 |10 35 28.2184|-78 36 28.130|  -38.00|   11.53|    7.89|M0III       | 4.11|
|HIP 76440 |15 36 43.1869|-66 19 00.857|   24.51|  -54.66|   15.09|K0III       | 4.11|
|HIP 57439 |11 46 30.8490|-61 10 42.093|  -21.85|  -16.23|    7.51|G0II        | 4.11|
|HIP 113638|23 00 52.8743|-52 45 14.780|  -65.09|  -12.91|   28.99|G8III       | 4.11|
|HIP 42312 |08 37 38.6414|-42 59 20.773|  -10.38|    9.47|    2.27|A6II        | 4.11|
|HIP 12486 |02 40 39.9317|-39 51 19.113|  135.17|  -27.34|   22.42|K0III       | 4.11|
|HIP 94114 |19 09 28.2783|-37 54 15.262|   85.73|  -96.65|   25.15|A0/A1V      | 4.11|
|HIP 34045 |07 03 45.4932|-15 37 59.732|   -0.81|  -11.20|    8.11|B8II        | 4.11|
|HIP 48356 |09 51 28.6825|-14 50 47.580|   18.68|  -21.88|   11.92|G6/G8III    | 4.11|
|HIP 12394 |02 39 35.2237|-68 16 01.011|   87.40|    0.56|   21.27|B9III       | 4.12|
|HIP 111043|22 29 45.4455|-43 44 57.221|  -14.93|    1.79|   10.04|M4.5IIIa    | 4.12|
|HIP 98032 |19 55 15.6791|-41 52 06.289|   23.37|   51.60|   17.24|K0III       | 4.12|
|HIP 102978|20 51 49.2962|-26 55 08.855|   -7.97|   -2.54|    5.19|K4III       | 4.12|
|HIP 58948 |12 05 12.6696|+08 43 58.244| -220.32|   57.52|   19.08|G8III       | 4.12|
|HIP 28614 |06 02 22.9904|+09 38 50.523|   14.19|  -37.44|   21.49|Am...       | 4.12|
|HIP 19812 |04 14 53.8577|+48 24 33.743|    5.04|  -17.35|    4.51|G0Ib...     | 4.12|
|HIP 112405|22 46 03.7233|-81 22 53.822|  -55.35|    0.88|   23.23|A9IV/V      | 4.13|
|HIP 102485|20 46 05.7661|-25 16 13.861|  -51.38| -156.66|   68.16|F5V         | 4.13|
|HIP 77853 |15 53 49.4771|-16 43 46.640|  100.12|  135.27|   20.02|K0III       | 4.13|
|HIP 25247 |05 23 56.8364|-07 48 28.640|  -13.91|  -44.80|   18.71|G8III       | 4.13|
|HIP 116771|23 39 56.8203|+05 37 38.473|  376.32| -437.00|   72.51|F7V         | 4.13|
|HIP 30883 |06 28 57.7905|+20 12 43.802|   -5.98|  -14.08|    6.49|B6III       | 4.13|
|HIP 59072 |12 06 52.8529|-64 36 49.100|   34.27|  -37.49|   50.79|F2III       | 4.14|
|HIP 42313 |08 37 39.4074|+05 42 13.675|  -70.27|   -6.99|   18.21|A1Vnn       | 4.14|
|HIP 16369 |03 30 52.3670|+12 56 12.055|   18.94|   -1.55|    9.05|K0II-III... | 4.14|
|HIP 17608 |03 46 19.5603|+23 56 54.463|   21.17|  -42.67|    9.08|B6IV        | 4.14|
|HIP 107354|21 44 38.7042|+25 38 42.010|   46.66|   13.47|   28.34|F5IV        | 4.14|
|HIP 78159 |15 57 35.3019|+26 52 40.895|  -76.55|  -60.24|   14.20|K3III       | 4.14|
|HIP 76127 |15 32 55.7959|+31 21 32.959|  -19.62|   -8.94|   10.49|B6Vnn       | 4.14|
|HIP 109937|22 15 58.1702|+37 44 55.445|    8.74|    0.76|    5.20|K3III       | 4.14|
|HIP 34769 |07 11 51.8604|-00 29 34.010|   -0.22|    6.68|    8.70|A2V         | 4.15|
|HIP 85112 |17 23 40.9729|+37 08 45.326|  -38.58|    9.19|    8.12|B9.5III     | 4.15|
|HIP 116805|23 40 24.4418|+44 20 02.320|   81.33|  -18.96|   19.22|B9IVn       | 4.15|
|HIP 85340 |17 26 22.2174|-24 10 30.084|   -1.97| -117.69|   38.96|A3IV:m      | 4.16|
|HIP 78727 |16 04 21.6300|-11 22 24.800|        |        |        |F6IV        | 4.16|
|HIP 28734 |06 04 07.2165|+23 15 49.075|   -2.60| -119.72|   21.64|G7III       | 4.16|
|HIP 36366 |07 29 06.6097|+31 47 02.686|  159.33|  193.82|   54.06|F0V...      | 4.16|
|HIP 17874 |03 49 27.2809|-36 12 00.405|  -49.42|  -56.63|   15.54|G8III       | 4.17|
|HIP 110003|22 16 49.9664|-07 46 59.653|  118.95|  -21.91|   17.04|G8III-IV    | 4.17|
|HIP 2599  |00 32 59.9865|+62 55 54.436|    3.99|   -2.10|    0.79|B1Ia        | 4.17|
|HIP 81304 |16 36 22.4609|-35 15 19.280|   14.72|   12.14|    9.63|K5III       | 4.18|
|HIP 111954|22 40 39.3256|-27 02 37.013|   22.01|   -0.88|    4.38|B8V         | 4.18|
|HIP 69427 |14 12 53.7410|-10 16 26.558|    8.04|  140.79|   14.59|K3III       | 4.18|
|HIP 69732 |14 16 23.1764|+46 05 16.508| -187.42|  159.01|   33.58|A0sh        | 4.18|
|HIP 109857|22 15 01.6790|+57 02 36.475|  476.45|   50.00|   38.86|F0IV        | 4.18|
|HIP 67457 |13 49 26.7513|-34 27 02.269|  -42.59|  -59.87|   18.39|M5III       | 4.19|
|HIP 92043 |18 45 39.7312|+20 32 49.645|   -9.25| -335.65|   52.37|F6V         | 4.19|
|HIP 113246|22 55 56.8920|-32 32 22.927|   10.84|   30.32|   19.14|G8III       | 4.20|
|HIP 38835 |07 56 51.5583|-22 52 48.535|  -29.61|   12.28|    6.49|F7/F8II     | 4.20|
|HIP 25813 |05 30 47.0479|+05 56 53.585|    6.57|  -32.45|   11.30|B5V         | 4.20|
|HIP 112447|22 46 41.4415|+12 10 26.702|  233.06| -492.04|   61.54|F7V         | 4.20|
|HIP 51233 |10 27 53.0925|+36 42 26.921| -127.52| -109.62|   22.34|G8III-IV    | 4.20|
|HIP 81126 |16 34 06.1893|+42 26 12.824|   -9.03|   59.80|   10.79|B9Vvar      | 4.20|
|HIP 105858|21 26 26.4921|-65 22 05.320|   81.08|  800.68|  108.50|F6V         | 4.21|
|HIP 20635 |04 25 22.0988|+22 17 38.332|  105.49|  -44.14|   21.27|A7IV-V      | 4.21|
|HIP 16228 |03 29 04.1344|+59 56 25.205|   -0.82|   -1.85|    0.76|B9Ia        | 4.21|
|HIP 101093|20 29 34.8273|+62 59 38.894|   45.00|  -13.31|   24.04|A7III       | 4.21|
|HIP 82080 |16 45 58.1615|+82 02 14.103|   19.54|    4.67|    9.41|G5IIIvar    | 4.21|
|HIP 92609 |18 52 13.0365|-62 11 15.218|   -1.33|  -13.53|    1.80|B2II-III    | 4.22|
|HIP 38518 |07 53 18.1629|-48 06 10.614|   -4.90|    5.89|    1.68|B0.5Ib      | 4.22|
|HIP 78918 |16 06 35.5563|-36 48 07.967|  -15.84|  -31.06|    7.94|B2.5Vn      | 4.22|
|HIP 17651 |03 46 50.9890|-23 14 54.377| -159.86| -528.54|   55.79|F3/F5V      | 4.22|
|HIP 80569 |16 27 01.4383|-18 27 22.309|   -5.58|  -22.22|    6.67|B2Vne       | 4.22|
|HIP 114724|23 14 19.3325|-06 02 54.696|   46.22| -195.85|   14.68|M2III       | 4.22|
|HIP 92175 |18 47 10.4773|-04 44 52.183|   -7.71|  -15.89|    4.73|G5II...     | 4.22|
|HIP 102453|20 45 39.7591|+30 43 10.764|   -8.01|   24.04|   15.84|K0III       | 4.22|
|HIP 92791 |18 54 30.2887|+36 53 54.979|   -6.73|    3.26|    3.63|M4IIvar     | 4.22|
|HIP 13254 |02 50 34.9142|+38 19 08.070|  195.68| -108.92|   25.54|F2III       | 4.22|
|HIP 105102|21 17 24.9525|+39 23 40.885|    0.43|   -3.61|    0.72|B9Iab       | 4.22|
|HIP 89908 |18 20 45.4412|+71 20 15.818|   -5.91|   35.79|   11.28|A0p (Si)    | 4.22|
|HIP 81852 |16 43 05.4196|-77 30 59.659| -282.83| -355.03|   20.69|K0III       | 4.23|
|HIP 1599  |00 20 01.9142|-64 52 39.444| 1707.56| 1165.36|  116.38|F9V         | 4.23|
|HIP 93825 |19 06 25.0396|-37 03 45.926|   96.93| -279.67|   55.89|F7IV-V      | 4.23|
|HIP 67153 |13 45 41.5666|-33 02 36.118| -461.85| -146.17|   51.91|F3V         | 4.23|
|HIP 68520 |14 01 38.7832|+01 32 40.500|   17.41|  -21.20|   14.94|A3V         | 4.23|
|HIP 64394 |13 11 52.9227|+27 52 33.736| -801.94|  882.70|  109.23|G0V         | 4.23|
|HIP 37629 |07 43 18.6853|+28 53 02.658|   61.84| -231.26|   26.68|K1III SB    | 4.23|
|HIP 79101 |16 08 46.1993|+44 56 05.348|  -25.98|   35.86|   14.27|B9MNp...    | 4.23|
|HIP 107533|21 46 47.6059|+49 18 34.469|    3.61|   -1.86|    2.82|B3III       | 4.23|
|HIP 107259|21 43 30.4549|+58 46 48.191|    5.24|   -2.88|    0.62|M2Ia        | 4.23|
|HIP 60000 |12 18 20.9439|-79 18 44.168|  -38.07|   12.00|   12.05|B5Vn        | 4.24|
|HIP 11407 |02 26 59.1050|-47 42 13.777|   19.97|   -5.44|    6.17|B5IV        | 4.24|
|HIP 80911 |16 31 22.9415|-34 42 15.555|  -11.51|  -18.56|    4.37|B2III-IV    | 4.24|
|HIP 12770 |02 44 07.3545|-13 51 31.233|   -7.58|   -8.40|    7.40|B7IV        | 4.24|
|HIP 86565 |17 41 24.9165|-12 52 30.622|  -72.16|  -55.22|   19.41|A2Va        | 4.24|
|HIP 114855|23 15 53.2769|-09 05 15.704|  368.56|  -17.02|   21.97|K0III       | 4.24|
|HIP 61317 |12 33 45.0925|+41 21 24.364| -705.06|  292.93|  119.46|G0V         | 4.24|
|HIP 5372  |01 08 44.1594|+86 15 25.625|   80.34|  -11.36|   10.43|K2II-III    | 4.24|
|HIP 5896  |01 15 45.4953|-68 52 34.453|  411.11|  127.43|   48.94|F6IV        | 4.25|
|HIP 62896 |12 53 26.1460|-40 10 43.747|   69.64|  -21.83|   21.03|A4IV        | 4.25|
|HIP 23972 |05 09 08.7830|-08 45 14.674|    0.00|   -2.01|    1.86|B2IVn       | 4.25|
|HIP 21402 |04 35 39.2336|+10 09 39.301|   44.89|  -52.42|   21.68|A5m         | 4.25|
|HIP 21476 |04 36 41.4336|+41 15 53.477|   -5.42|  -19.19|    5.08|G8II comp   | 4.25|
|HIP 41075 |08 22 50.1301|+43 11 18.140|  -25.62|  -99.44|    8.39|K5III       | 4.25|
|HIP 19167 |04 06 35.0553|+50 21 04.861|  -13.03|  -36.37|    9.41|A0IVn       | 4.25|
|HIP 107418|21 45 26.9293|+61 07 14.918|   -3.08|   -1.86|    0.64|A2Iavar     | 4.25|
|HIP 70692 |14 27 31.5225|+75 41 45.381|    8.71|   22.09|    9.46|K4III       | 4.25|
|HIP 19893 |04 16 01.4914|-51 29 13.545|  100.57|  184.23|   49.26|F4III       | 4.26|
|HIP 15510 |03 19 53.2248|-43 04 17.577| 3038.08|  726.34|  165.02|G8V         | 4.26|
|HIP 86170 |17 36 32.8468|-38 38 05.515|  -18.47| -182.29|   22.64|G8/K0III/IV | 4.26|
|HIP 16611 |03 33 47.2479|-21 37 58.137|   44.91|  -27.47|   11.02|B9V         | 4.26|
|HIP 8198  |01 45 23.5887|+09 09 27.508|   70.82|   38.99|   12.63|K0III       | 4.26|
|HIP 44066 |08 58 29.1970|+11 51 27.979|   41.45|  -29.22|   18.79|A5m         | 4.26|
|HIP 88267 |18 01 30.4029|+21 35 44.477|    7.55|   38.79|    6.93|G5          | 4.26|
|HIP 5434  |01 09 30.1222|+47 14 30.567|    3.81|  -13.02|    4.43|B7III       | 4.26|
|HIP 108917|22 03 47.1619|+64 37 39.915|  214.46|   89.29|   32.07|Am          | 4.26|
|HIP 22783 |04 54 03.0106|+66 20 33.577|    0.49|    7.31|    0.47|O9.5Ia SB:  | 4.26|
|HIP 64004 |13 06 54.6630|-49 54 22.377|  -26.24|  -12.43|    7.92|B1.5V       | 4.27|
|HIP 74911 |15 18 32.0486|-47 52 30.691|  -31.74|  -32.82|   11.22|B8V         | 4.27|
|HIP 95294 |19 23 13.0606|-44 47 58.732|   92.78|  -53.73|   23.52|F2III       | 4.27|
|HIP 115830|23 27 58.1678|+06 22 44.750| -123.83|  -43.26|   20.54|K1III       | 4.27|
|HIP 4906  |01 02 56.6559|+07 53 24.261|  -80.57|   25.88|   17.14|K0III       | 4.27|
|HIP 19860 |04 15 32.0452|+08 53 32.676|   20.39|  -21.75|    7.50|B3IV        | 4.27|
|HIP 12828 |02 44 56.3734|+10 06 51.191|  285.17|  -30.40|   38.71|F1III-IV    | 4.27|
|HIP 21589 |04 38 09.4017|+12 30 39.147|  101.73|  -14.90|   21.79|A6V         | 4.27|
|HIP 102532|20 46 39.5180|+16 07 29.184|  -25.88| -196.27|   32.14|K1IV        | 4.27|
|HIP 21881 |04 42 14.7035|+22 57 25.112|   -2.84|  -20.33|    8.14|B3V         | 4.27|
|HIP 114131|23 06 52.7685|-43 31 13.168|  -48.35|  -13.98|   24.51|F5me...     | 4.28|
|HIP 51172 |10 27 09.1559|-31 04 04.088|  -80.42|    9.63|    8.90|K4III       | 4.28|
|HIP 85423 |17 27 21.2640|-29 52 00.118|   14.38| -137.41|   29.26|F3III       | 4.28|
|HIP 105515|21 22 14.7774|-16 50 04.399|   30.83|    5.26|   15.13|G8III       | 4.28|
|HIP 20711 |04 26 18.3948|+22 48 49.298|  108.66|  -45.83|   21.07|A8Vn        | 4.28|
|HIP 109410|22 09 59.2526|+33 10 41.763|  -12.34|  -17.94|   12.96|F5III       | 4.28|
|HIP 99655 |20 13 23.8011|+56 34 03.080|   60.85|   82.26|   21.41|A3IV-Vn     | 4.28|
|HIP 47193 |09 37 05.3519|+81 19 35.115|  -16.77|  -15.95|    3.03|K3III       | 4.28|
|HIP 52154 |10 39 18.4125|-55 36 11.805|  -18.87|    4.31|    3.62|G2II        | 4.29|
|HIP 57936 |11 52 54.5613|-33 54 29.269|  -58.02|    2.40|    8.93|Ap Si       | 4.29|
|HIP 111188|22 31 30.2896|-32 20 45.701|   59.64|  -18.70|   21.99|A1V         | 4.29|
|HIP 80894 |16 31 08.3949|-16 36 45.505|  -44.57|  -38.04|   15.53|G8/K0III    | 4.29|
|HIP 109139|22 06 26.2053|-13 52 10.344|   40.45|  -57.16|   18.90|B8V         | 4.29|
|HIP 24845 |05 19 34.5260|-13 10 36.397|   -2.49|   -4.74|    3.03|B0.5IV      | 4.29|
|HIP 16852 |03 36 52.5190|+00 24 10.199| -232.69| -482.00|   72.89|F9V         | 4.29|
|HIP 116631|23 38 08.1791|+43 16 05.074|   27.72|   -1.21|    6.49|B8V         | 4.29|
|HIP 77055 |15 44 03.4639|+77 47 40.196|   20.07|   -2.50|    8.68|A3Vn        | 4.29|
|HIP 57669 |11 49 41.0880|-63 47 18.561|  -17.93|    4.44|    7.10|B3V         | 4.30|
|HIP 70069 |14 20 19.5527|-56 23 11.325|   -9.29|   -7.57|    2.75|B6Ib        | 4.30|
|HIP 17797 |03 48 35.8229|-37 37 12.464|   75.83|  -10.69|   20.23|A+...       | 4.30|
|HIP 4577  |00 58 36.3459|-29 21 26.872|   22.44|    6.30|    4.85|B7IIIp      | 4.30|
|HIP 61174 |12 32 04.4848|-16 11 45.116| -424.37|  -58.41|   54.92|F2V         | 4.30|
|HIP 100027|20 17 38.8561|-12 30 29.571|   22.24|    0.75|    4.75|G3Ib        | 4.30|
|HIP 56647 |11 36 56.9299|-00 49 25.875|    1.30|   43.43|   18.31|G9III       | 4.30|
|HIP 42799 |08 43 13.4864|+03 23 55.195|  -19.14|   -1.29|    6.99|B3V...      | 4.30|
|HIP 11484 |02 28 09.5179|+08 27 36.319|   41.72|  -14.46|   18.53|B9III       | 4.30|
|HIP 20648 |04 25 29.3174|+17 55 40.761|  108.26|  -32.47|   22.05|A2IV        | 4.30|
|HIP 17531 |03 45 12.4821|+24 28 02.564|   19.35|  -41.63|    8.75|B6V         | 4.30|
|HIP 53417 |10 55 36.8480|+24 44 59.116|  -78.41|  -14.89|   11.29|A1          | 4.30|
|HIP 28404 |05 59 56.1014|+45 56 12.312|   -2.42|   -7.32|    3.88|M3IIvar     | 4.30|
|HIP 70638 |14 26 55.7408|-83 40 04.271|  -95.79|  -12.91|   11.70|K2III       | 4.31|
|HIP 42568 |08 40 37.0352|-59 45 39.653|   -6.87|    4.92|    2.31|B1.5III     | 4.31|
|HIP 78990 |16 07 24.3001|-20 52 07.155|   43.68|  -45.30|   12.32|G6/G8III    | 4.31|
|HIP 101847|20 38 20.2735|-01 06 18.286|   15.66|  -17.01|    8.50|G8III SB    | 4.31|
|HIP 75411 |15 24 29.5362|+37 22 37.059| -147.68|   84.69|   26.96|F0V         | 4.31|
|HIP 58758 |12 03 01.6991|-63 18 46.602| -152.53|    6.10|   14.19|Am          | 4.32|
|HIP 72683 |14 51 38.3233|-43 34 31.058|  -24.79|  -26.80|    8.00|B5IV        | 4.32|
|HIP 67669 |13 51 49.6252|-32 59 38.459|  -35.74|  -30.14|   10.96|B5          | 4.32|
|HIP 21763 |04 40 26.4939|-19 40 16.525|   28.21|  -97.09|    9.03|M3/M4III    | 4.32|
|HIP 43067 |08 46 22.5275|-13 32 51.738|   17.57|   -6.22|   14.38|G8III       | 4.32|
|HIP 84880 |17 20 49.6356|-12 50 48.775|   42.75|    2.72|   16.86|A0/A1V      | 4.32|
|HIP 64241 |13 09 59.5494|+17 31 44.818| -445.95|  129.69|   69.81|F5V         | 4.32|
|HIP 25945 |05 32 12.7512|+18 35 39.283|   -0.34|   -4.51|    1.70|M2Ib        | 4.32|
|HIP 46750 |09 31 43.2404|+22 58 05.036|  -19.38|  -39.04|    9.69|K5IIIvar    | 4.32|
|HIP 29696 |06 15 22.7366|+29 29 55.364|  -70.90| -261.73|   19.31|G8IIIvar    | 4.32|
|HIP 16826 |03 36 29.3601|+48 11 33.722|   21.41|  -27.58|    4.66|B5Ve        | 4.32|
|HIP 88866 |18 08 34.7908|-63 40 04.974|   17.45| -207.64|   23.55|Am          | 4.33|
|HIP 62867 |12 53 06.9766|-48 56 35.711|  -79.18|  -25.34|   10.77|K3/K4III    | 4.33|
|HIP 70576 |14 26 10.8016|-45 22 45.339|   13.55|   -6.35|   10.38|A7:+...     | 4.33|
|HIP 84405 |17 15 21.2873|-26 36 00.176| -473.69|-1143.93|  167.08|K2:III:     | 4.33|
|HIP 36284 |07 28 09.8295|+08 55 31.814|  -59.29|   10.76|    8.20|K3III SB    | 4.33|
|HIP 89826 |18 19 51.7212|+36 03 52.009|  -16.14|   41.32|   13.71|K2IIIvar    | 4.33|
|HIP 40888 |08 20 38.8879|-77 29 04.475| -129.09|   40.78|   21.22|K0III-IV    | 4.34|
|HIP 27100 |05 44 46.4191|-65 44 07.947|  -28.38|    6.12|   22.48|A7V         | 4.34|
|HIP 45496 |09 16 12.1024|-57 32 29.176|  -27.77|  -14.77|    6.08|M1III       | 4.34|
|HIP 47175 |09 36 49.6570|-49 21 18.463| -130.56|   42.29|   30.35|A5V         | 4.34|
|HIP 68523 |14 01 43.4920|-45 36 12.132|    3.89|  -20.94|    7.28|F6II        | 4.34|
|HIP 76552 |15 38 03.3223|-42 34 02.946| -147.60|   56.35|   14.19|K4.5III     | 4.34|
|HIP 31125 |06 31 51.3682|-23 25 06.374|   -2.72|    6.45|    1.59|B1III       | 4.34|
